%x,%y,%theta,%velocity,%steering,%label
-9.500612365225667710e-03,9.696589640831131465e-03,-7.504042631924501272e-03,8.607707985315025123e-01,-7.203796856359204843e-04,0.000000000000000000e+00
-1.021265319651724901e-02,1.041692017997422441e-02,-7.866847958565736931e-03,8.177372861160601136e-01,-8.429723935083376692e-04,0.000000000000000000e+00
-8.769667876408459781e-03,8.949193178470933596e-03,-8.336260051346910949e-03,7.768560453466997195e-01,-1.148066736141993387e-03,0.000000000000000000e+00
-1.057549750755046834e-02,1.078388701753585539e-02,-8.582088476576932301e-03,7.380164060918511515e-01,-6.328774560051298207e-04,0.000000000000000000e+00
-1.005434254330725766e-02,1.025285506787743973e-02,-9.118370429395228349e-03,7.011219982199319301e-01,-1.453292002805949609e-03,0.000000000000000000e+00
-9.134175437200964254e-03,9.315381076535858562e-03,-9.567251592296210916e-03,6.660695145119760463e-01,-1.280457557077335469e-03,0.000000000000000000e+00
-1.087765626695445624e-02,1.109249040142090345e-02,-9.882716709271766042e-03,6.327689723319533943e-01,-9.472391491898094883e-04,0.000000000000000000e+00
-9.479550417924234931e-03,9.667233656104702588e-03,-1.047938213834587184e-02,6.011376989971708440e-01,-1.885862379254062268e-03,0.000000000000000000e+00
-1.003876829429334316e-02,1.023923638384718372e-02,-1.086177386433939684e-02,5.710820288024986979e-01,-1.272223342289157798e-03,0.000000000000000000e+00
-1.100726305799358193e-02,1.123047698061418152e-02,-1.134647270039901290e-02,5.425327871068897911e-01,-1.697458523962085087e-03,0.000000000000000000e+00
-1.010315421566033815e-02,1.030799741244859020e-02,-1.198866347803717591e-02,5.154130846843961722e-01,-2.367344241689003839e-03,0.000000000000000000e+00
-9.237179608952095222e-03,9.423612058970045474e-03,-1.249628660239598954e-02,4.896438566503273360e-01,-1.969763688020656749e-03,0.000000000000000000e+00
-9.579174950092608082e-03,9.777026638468334918e-03,-1.288757444332011559e-02,4.651633487406200973e-01,-1.598247726845334693e-03,0.000000000000000000e+00
