x_error,y_error,theta_error,distance_error
3.714315910281951183e-02,3.714315910281951183e-02,1.110223024625156540e-16,5.252835935258903799e-02
3.467629550829615104e-02,3.467629550829615104e-02,1.110223024625156540e-16,4.903968740068965354e-02
3.232280678479221292e-02,3.232280678479221292e-02,1.110223024625156540e-16,4.571135172901823890e-02
3.007748232341661554e-02,3.007748232341661554e-02,1.110223024625156540e-16,4.253598342381280373e-02
2.793535099025867829e-02,2.793535099025867829e-02,1.110223024625156540e-16,3.950655224007649374e-02
2.589167012032966841e-02,2.589167012032966841e-02,1.110223024625156540e-16,3.661635103666044389e-02
2.394191501733294869e-02,2.394191501733294869e-02,1.110223024625156540e-16,3.385898092669632764e-02
2.208176893601559998e-02,2.208176893601559998e-02,1.110223024625156540e-16,3.122833711050217176e-02
2.030711352492209354e-02,2.030711352492209354e-02,1.110223024625156540e-16,2.871859535959493323e-02
1.861401970839071662e-02,1.861401970839071662e-02,1.110223024625156540e-16,2.632419912188623673e-02
1.699873898760534408e-02,1.699873898760534408e-02,1.110223024625156540e-16,2.403984721951177295e-02
6.545769514144311740e-02,6.545769514144311740e-02,1.110223024625156540e-16,9.257116023071230992e-02
6.168434982324033644e-02,6.168434982324033644e-02,1.110223024625156540e-16,8.723484410619290752e-02
5.808959532315743912e-02,5.808959532315743912e-02,1.110223024625156540e-16,8.215109353877396436e-02
5.466005202870849455e-02,5.466005202870849455e-02,1.110223024625156540e-16,7.730098689901855613e-02
5.138812751369398191e-02,5.138812751369398191e-02,1.110223024625156540e-16,7.267378687482402289e-02
4.826657775823184338e-02,4.826657775823184338e-02,1.110223024625156540e-16,6.825924887502704541e-02
4.528849167124809894e-02,4.528849167124809894e-02,1.110223024625156540e-16,6.404759914090002448e-02
4.244727578930773682e-02,4.244727578930773682e-02,1.110223024625156540e-16,6.002951310703012050e-02
3.973663967872903546e-02,3.973663967872903546e-02,1.110223024625156540e-16,5.619609475679146482e-02
3.715058200860388293e-02,3.715058200860388293e-02,1.110223024625156540e-16,5.253885692662151052e-02
3.468337726388975861e-02,3.468337726388975861e-02,1.110223024625156540e-16,4.904970251549554267e-02
3.232956306915635292e-02,3.232956306915635292e-02,1.110223024625156540e-16,4.572090655799725817e-02
3.008392809492138609e-02,3.008392809492138609e-02,1.110223024625156540e-16,4.254509912129481042e-02
2.794150051980071048e-02,2.794150051980071048e-02,1.110223024625156540e-16,3.951524898815705206e-02
2.589753702292779680e-02,2.589753702292779680e-02,1.110223024625156540e-16,3.662464808988383919e-02
2.394751228227182116e-02,2.394751228227182116e-02,1.110223024625156540e-16,3.386689665468507748e-02
2.208710895560378473e-02,2.208710895560378473e-02,1.110223024625156540e-16,3.123588903862712166e-02
2.031220812192857661e-02,2.031220812192857661e-02,1.110223024625156540e-16,2.872580020777632664e-02
1.861888016222046360e-02,1.861888016222046360e-02,1.110223024625156540e-16,2.633107284161155179e-02
1.700337605927187967e-02,1.700337605927187967e-02,1.110223024625156540e-16,2.404640502915228115e-02
6.546211909739330093e-02,6.546211909739330093e-02,1.110223024625156540e-16,9.257741664921639857e-02
6.168857045808417983e-02,6.168857045808417983e-02,1.110223024625156540e-16,8.724081298523089778e-02
5.809362198135331612e-02,5.809362198135331612e-02,1.110223024625156540e-16,8.215678809340561106e-02
5.466389362525175821e-02,5.466389362525175821e-02,1.110223024625156540e-16,7.730641973695120961e-02
5.139179255385462053e-02,5.139179255385467604e-02,6.661338147750939243e-16,7.267897002432588405e-02
4.827007435638519528e-02,4.827007435638525079e-02,4.440892098500626162e-16,6.826419381155772459e-02
4.529182756883998184e-02,4.529182756884003735e-02,4.440892098500626162e-16,6.405231681251719045e-02
4.245045837199395988e-02,4.245045837199401539e-02,3.330669073875469621e-16,6.003401395862839607e-02
3.973967599272720808e-02,3.973967599272726359e-02,3.330669073875469621e-16,5.620038875322734551e-02
3.715347877629365803e-02,3.715347877629371354e-02,2.220446049250313081e-16,5.254295357477547362e-02
3.468614089869620498e-02,3.468614089869626049e-02,2.220446049250313081e-16,4.905361088532030761e-02
3.233219968974909708e-02,3.233219968974915259e-02,3.330669073875469621e-16,4.572463530259838344e-02
3.008644353876149813e-02,3.008644353876155364e-02,3.330669073875469621e-16,4.254865649608892408e-02
2.794390035606464373e-02,2.794390035606469924e-02,2.220446049250313081e-16,3.951864286914901631e-02
2.589982656483763579e-02,2.589982656483769130e-02,3.330669073875469621e-16,3.662788599110439192e-02
2.394969659885859414e-02,2.394969659885864965e-02,3.330669073875469621e-16,3.386998574482665003e-02
