x, y, z, roll, pitch, yaw, time, iteration
7.827784538269042969e+00,6.538941383361816406e+00,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,5.979741036256834841e-01,6.550177097320556641e+00,1.300000000000000000e+02
7.827784538269042969e+00,6.538941383361816406e+00,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,5.979741036256834841e-01,6.599928140640258789e+00,1.310000000000000000e+02
7.861556529998779297e+00,6.561945915222167969e+00,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,5.956378760164443564e-01,6.650221109390258789e+00,1.320000000000000000e+02
7.895381927490234375e+00,6.584871292114257812e+00,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,5.933016551768715008e-01,6.699864149093627930e+00,1.330000000000000000e+02
7.895381927490234375e+00,6.584871292114257812e+00,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,5.933016551768715008e-01,6.750004053115844727e+00,1.340000000000000000e+02
7.995628356933593750e+00,6.652130603790283203e+00,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,5.862170751313303674e-01,6.799972057342529297e+00,1.350000000000000000e+02
7.995628356933593750e+00,6.652130603790283203e+00,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,5.862170751313303674e-01,6.850162982940673828e+00,1.360000000000000000e+02
8.028133392333984375e+00,6.673717021942138672e+00,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,5.837713225679042051e-01,6.900201082229614258e+00,1.370000000000000000e+02
8.060691833496093750e+00,6.695223808288574219e+00,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,5.813255941925690173e-01,6.950214147567749023e+00,1.380000000000000000e+02
8.125082969665527344e+00,6.737420558929443359e+00,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,5.763798555017186631e-01,7.000118017196655273e+00,1.390000000000000000e+02
8.125082969665527344e+00,6.737420558929443359e+00,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,5.763798555017186631e-01,7.050206184387207031e+00,1.400000000000000000e+02
8.188235282897949219e+00,6.778356075286865234e+00,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,5.713016470165472871e-01,7.099925994873046875e+00,1.410000000000000000e+02
8.188235282897949219e+00,6.778356075286865234e+00,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,5.713016470165472871e-01,7.150197029113769531e+00,1.420000000000000000e+02
8.188235282897949219e+00,6.778356075286865234e+00,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,5.713016470165472871e-01,7.200143098831176758e+00,1.430000000000000000e+02
8.250470161437988281e+00,6.818247795104980469e+00,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,5.661260544155785057e-01,7.249911069869995117e+00,1.440000000000000000e+02
8.250470161437988281e+00,6.818247795104980469e+00,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,5.661260544155785057e-01,7.300089120864868164e+00,1.450000000000000000e+02
8.343107223510742188e+00,6.876784324645996094e+00,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,5.582528145016559806e-01,7.349975109100341797e+00,1.460000000000000000e+02
8.343107223510742188e+00,6.876784324645996094e+00,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,5.582528145016559806e-01,7.399953126907348633e+00,1.470000000000000000e+02
8.403133392333984375e+00,6.914156913757324219e+00,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,5.527130942165161542e-01,7.449984073638916016e+00,1.480000000000000000e+02
8.403133392333984375e+00,6.914156913757324219e+00,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,5.527130942165161542e-01,7.499956130981445312e+00,1.490000000000000000e+02
8.432704925537109375e+00,6.932398319244384766e+00,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,5.498844364633020954e-01,7.550184965133666992e+00,1.500000000000000000e+02
8.462327957153320312e+00,6.950555801391601562e+00,5.000000000000000000e-01,0.000000000000000000e+00,-0.000000000000000000e+00,5.470557891189040678e-01,7.599914073944091797e+00,1.510000000000000000e+02
